Key,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2012 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,2.2,26.0,26.0,0,2.2,1,26,26,0,0,26
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2013 97354895-8c77-4fd4-a860-32e62ea7382a,1,3.6,32.0,32.0,0,3.6,0,32,32,0,0,32
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,2,2.7,40.0,40.0,0,5.4,0,43,80,0,0,80
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,2.5,28.0,28.0,0,2.5,1,28,28,0,0,28
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,1,2.4,9.0,29.0,0,2.4,0,29,9,0,1,29
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2014 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0
6444feb1-f5a4-4b45-9a45-79308a4445fd 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,4.27,21.0,41.0,0,4.27,0,41,21,0,1,41
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2015 f0e724b0-4cbf-495a-be47-013907608da9,1,4.38,47.0,48.0,0,4.38,0,48,47,1,0,48
218d1644-603e-4da3-9ce1-48ce3927494f 2016 e6aa13a4-0055-48a9-bc41-be28dc106929,2,3.7489999999999997,33.5,33.5,0,7.497000000000001,0,36,67,0,0,67
63f8a401-f308-4463-9d0b-4335b98da682 2016 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,4,4.2219999999999995,29.75,45.0,0,16.887999999999998,0,54,119,21,2,180
0d1171d4-c955-4966-9257-640b569866d1 2016 de760528-1dc0-416a-a978-b510d20692ff,2,3.8160000000000003,33.0,33.0,0,7.632999999999999,0,47,66,0,0,66
cd0f4ef0-9914-4125-be4d-804a72350ceb 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,1,3.237,16.0,16.0,0,3.237,0,16,16,0,0,16
6444feb1-f5a4-4b45-9a45-79308a4445fd 2017 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,0.0,26.0,26.0,0,0.0,1,26,26,0,0,26
67f5e782-f91c-4536-9818-cf4a0e7e821d 2017 c5a59daa-53a7-4de0-851f-fb12be893e9e,4,3.639,34.75,34.75,0,14.554,1,47,139,0,0,139
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2018 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,2.502,9.0,27.0,0,2.502,0,27,9,18,0,27
596c4000-ede5-45b0-8336-33efeb686d2b 2018 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,1,0.0,24.0,24.0,0,0.0,1,24,24,0,0,24
